,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
62,,confirmation,,html-keyboard-response,62,166016,0.0-1.0-13.0-0.0-1.0-0.0,0,0,10,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.956,1.044,,,,,,
63,,isi,,html-keyboard-response,63,167520,0.0-1.0-13.0-0.0-2.0,0,0,10,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,1.5,,,,,,
64,,feedback,,html-keyboard-response,64,168528,0.0-1.0-13.0-0.0-3.0-0.0,0,0,10,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,1.0,,,,,,
65,,iti,,html-keyboard-response,65,171536,0.0-1.0-13.0-0.0-5.0,0,0,10,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,3.0,,,,,,
66,,choice,,html-keyboard-response,66,172076,0.0-1.0-14.0-0.0-0.0,0,0,10,,535.0,,,51.0,12.0,12.0,1500.0,2000.0,0.0,1.0,0.0,20-60,,0.0,necklace,bowl,20.0,60.0,necklace1,bowl14,0.0,60.0,26443173.thl.jpg,Aredglassbowl.jpg,/static/Category_learning/Stimuli/Experimental_stims/necklace/26443173.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/bowl/Aredglassbowl.jpg,0.0,bowl,necklace,60.0,20.0,bowl14,necklace1,60.0,0.0,0.0,42.5,0.535,,,,,,
67,,confirmation,,html-keyboard-response,67,173046,0.0-1.0-14.0-0.0-1.0-0.0,0,0,10,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,43.035,0.965,,,,,,
68,,isi,,html-keyboard-response,68,174550,0.0-1.0-14.0-0.0-2.0,0,0,10,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,1.5,,,,,,
69,,feedback,,html-keyboard-response,69,175558,0.0-1.0-14.0-0.0-3.0-0.0,0,0,10,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,1.0,,,,,,
70,,iti,,html-keyboard-response,70,177565,0.0-1.0-14.0-0.0-5.0,0,0,10,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,2.0,,,,,,
71,,choice,,html-keyboard-response,71,179588,0.0-1.0-15.0-0.0-0.0,0,0,10,,,,,,13.0,13.0,3500.0,3500.0,0.0,1.0,1.0,20-60,0.0,,seashell,dresser,20.0,60.0,seashell7,dresser4,20.0,80.0,seashell34.jpg,ADRESSE40.jpg,/static/Category_learning/Stimuli/Experimental_stims/seashell/seashell34.jpg,/static/Category_learning/Stimuli/Experimental_stims/dresser/ADRESSE40.jpg,,,,,,,,,,1.0,48.5,1.5,,,,,,
72,,isi,,html-keyboard-response,72,183092,0.0-1.0-15.0-0.0-2.0,0,0,10,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,3.5,,,,,,
73,,no_response,,html-keyboard-response,73,184096,0.0-1.0-15.0-0.0-4.0-0.0,0,0,10,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,1.0,,,,,,
74,,iti,,html-keyboard-response,74,187617,0.0-1.0-15.0-0.0-5.0,0,0,10,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,3.5,,,,,,
75,,choice,,html-keyboard-response,75,188135,0.0-1.0-15.0-0.1-0.1,0,0,10,,513.0,,,51.0,13.0,13.0,3500.0,3500.0,0.0,1.0,1.0,20-60,0.0,,seashell,dresser,20.0,60.0,seashell7,dresser4,20.0,80.0,seashell34.jpg,ADRESSE40.jpg,/static/Category_learning/Stimuli/Experimental_stims/seashell/seashell34.jpg,/static/Category_learning/Stimuli/Experimental_stims/dresser/ADRESSE40.jpg,0.0,dresser,seashell,60.0,20.0,dresser4,seashell7,80.0,20.0,0.0,58.0,0.513,,,,,,
76,,confirmation,,html-keyboard-response,76,189131,0.0-1.0-15.0-0.1-1.1-0.1,0,0,10,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,58.513,0.987,,,,,,
77,,isi,,html-keyboard-response,77,191136,0.0-1.0-15.0-0.1-2.1,0,0,10,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,2.0,,,,,,
78,,feedback,,html-keyboard-response,78,192145,0.0-1.0-15.0-0.1-3.1-0.1,0,0,10,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5,1.0,,,,,,
79,,iti,,html-keyboard-response,79,193648,0.0-1.0-15.0-0.1-5.1,0,0,10,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,1.5,,,,,,
80,,choice,,html-keyboard-response,80,194479,0.0-1.0-16.0-0.0-0.0,0,0,10,,826.0,,,50.0,14.0,14.0,1000.0,1000.0,0.0,1.0,0.0,60-80,,1.0,microscope,bench,80.0,60.0,microscope12,bench12,60.0,80.0,usbdigitalmicroscope1_small1.jpg,22927976.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/microscope/usbdigitalmicroscope1_small1.jpg,/static/Category_learning/Stimuli/Experimental_stims/bench/22927976.thl.jpg,1.0,microscope,bench,80.0,60.0,microscope12,bench12,60.0,80.0,0.0,64.0,0.826,,,,,,
81,,confirmation,,html-keyboard-response,81,195158,0.0-1.0-16.0-0.0-1.0-0.0,0,0,10,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,64.826,0.674,,,,,,
82,,isi,,html-keyboard-response,82,196163,0.0-1.0-16.0-0.0-2.0,0,0,10,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5,1.0,,,,,,
83,,feedback,,html-keyboard-response,83,197169,0.0-1.0-16.0-0.0-3.0-0.0,0,0,10,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,1.0,,,,,,
84,,iti,,html-keyboard-response,84,198173,0.0-1.0-16.0-0.0-5.0,0,0,10,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,1.0,,,,,,
85,,choice,,html-keyboard-response,85,199681,0.0-1.0-17.0-0.0-0.0,0,0,10,,,,,,15.0,15.0,1000.0,1000.0,0.0,1.0,1.0,20-80,0.0,,microscope,pen,80.0,20.0,microscope12,pen11,60.0,0.0,usbdigitalmicroscope1_small1.jpg,pen01.jpg,/static/Category_learning/Stimuli/Experimental_stims/microscope/usbdigitalmicroscope1_small1.jpg,/static/Category_learning/Stimuli/Experimental_stims/pen/pen01.jpg,,,,,,,,,,1.0,68.5,1.5,,,,,,
86,,isi,,html-keyboard-response,86,200689,0.0-1.0-17.0-0.0-2.0,0,0,10,,,,,,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,1.0,,,,,,
87,,no_response,,html-keyboard-response,87,201697,0.0-1.0-17.0-0.0-4.0-0.0,0,0,10,,,,,,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,1.0,,,,,,
88,,iti,,html-keyboard-response,88,202715,0.0-1.0-17.0-0.0-5.0,0,0,10,,,,,,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,1.0,,,,,,
