trial_num,block,pair_type,iti,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,delta_size,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img,right_img,left_img_path,right_img_path
54,1,S-L,2000,0,S,L,1,3,-2,thread,dishwasher,thread2,dishwasher7,141,26,thread6.jpg,dishwasher7.jpg,Stimuli/Size_stims/S/thread/thread6.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher7.jpg
55,1,S-L,500,1,L,S,3,1,2,dishwasher,teabag,dishwasher1,teabag5,20,134,dishwasher10.jpg,teabag2.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher10.jpg,Stimuli/Size_stims/S/teabag/teabag2.jpg
56,1,XL-XL,2000,NA,XL,XL,4,4,0,tractor,van,tractor3,van8,182,197,tractor5.jpg,van10.jpg,Stimuli/Size_stims/XL/tractor/tractor5.jpg,Stimuli/Size_stims/XL/van/van10.jpg
57,1,L-XL,1000,0,L,XL,3,4,-1,cooler,van,cooler2,van9,1,198,cooler9.jpg,van9.jpg,Stimuli/Size_stims/L/cooler/cooler9.jpg,Stimuli/Size_stims/XL/van/van9.jpg
58,1,M-L,500,1,L,M,3,2,1,garbagecan,ketchup,garbagecan3,ketchup5,32,94,garbagecan7.jpg,ketchup3.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan7.jpg,Stimuli/Size_stims/M/ketchup/ketchup3.jpg
59,1,M-XL,1000,0,M,XL,2,4,-2,basketball,tractor,basketball1,tractor1,50,180,basketball9.jpg,tractor6.jpg,Stimuli/Size_stims/M/basketball/basketball9.jpg,Stimuli/Size_stims/XL/tractor/tractor6.jpg
60,1,M-M,3500,NA,M,M,2,2,0,basketball,hairdryer,basketball6,hairdryer7,55,76,basketball2.jpg,hairdryer3.jpg,Stimuli/Size_stims/M/basketball/basketball2.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer3.jpg
61,1,L-XL,3500,0,L,XL,3,4,-1,garbagecan,crane,garbagecan6,crane2,35,161,garbagecan14.jpg,crane6.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan14.jpg,Stimuli/Size_stims/XL/crane/crane6.jpg
62,1,L-XL,2500,1,XL,L,4,3,1,van,cooler,van7,cooler5,196,4,van1.jpg,cooler10.jpg,Stimuli/Size_stims/XL/van/van1.jpg,Stimuli/Size_stims/L/cooler/cooler10.jpg
63,1,M-M,4000,NA,M,M,2,2,0,coffeemaker,hairdryer,coffeemaker5,hairdryer1,64,70,coffeemaker10.jpg,hairdryer11.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker10.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer11.jpg
