,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response
217,,choice,,html-keyboard-response,217,235830,0.0-1.0-13.0-0.23-0.23,0,0,96878,,,,,,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,,,,,,,,,,1.0,201.0,1.5,,,,,
218,,isi,,html-keyboard-response,218,235933,0.0-1.0-13.0-0.23-2.23,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5,1.5,,,,,
219,,no_response,,html-keyboard-response,219,236940,0.0-1.0-13.0-0.23-4.23-0.23,1,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.5,1.0,,,,,
220,,iti,,html-keyboard-response,220,237061,0.0-1.0-13.0-0.23-5.23,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.5,2.0,,,,,
221,,choice,,html-keyboard-response,221,237548,0.0-1.0-13.0-0.24-0.24,0,0,96878,,485.0,,,75.0,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,0.0,small table,desk,20.0,60.0,small table1,desk11,0.0,60.0,0.0,205.985,0.485,,,,,
222,,confirmation,,html-keyboard-response,222,238568,0.0-1.0-13.0-0.24-1.24-0.24,0,0,96878,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,1.015,,,,,
223,,isi,,html-keyboard-response,223,238673,0.0-1.0-13.0-0.24-2.24,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.5,1.5,,,,,
224,,feedback,,html-keyboard-response,224,239677,0.0-1.0-13.0-0.24-3.24-0.24,0,0,96878,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.5,1.0,,,,,
225,,iti,,html-keyboard-response,225,239783,0.0-1.0-13.0-0.24-5.24,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.5,2.0,,,,,
226,,choice,,html-keyboard-response,226,239990,0.0-1.0-14.0-0.0-0.0,0,0,96878,,205.0,,,68.0,12.0,312.0,2000.0,1500.0,0.0,6.0,0.0,20-60,,1.0,fan,patio lounge chair,60.0,20.0,fan5,patio lounge chair15,40.0,0.0,Table_Fan.jpg,phpThumb.jpg,/static/Category_learning/Stimuli/Experimental_stims/fan/Table_Fan.jpg,/static/Category_learning/Stimuli/Experimental_stims/patio lounge chair/phpThumb.jpg,1.0,fan,patio lounge chair,60.0,20.0,fan5,patio lounge chair15,40.0,0.0,0.0,211.705,0.205,,,,,
227,,confirmation,,html-keyboard-response,227,241292,0.0-1.0-14.0-0.0-1.0-0.0,0,0,96878,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.0,1.295,,,,,
228,,isi,,html-keyboard-response,228,241399,0.0-1.0-14.0-0.0-2.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,2.0,,,,,
229,,feedback,,html-keyboard-response,229,242403,0.0-1.0-14.0-0.0-3.0-0.0,0,0,96878,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,1.0,,,,,
230,,iti,,html-keyboard-response,230,242509,0.0-1.0-14.0-0.0-5.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.5,1.5,,,,,
231,,choice,,html-keyboard-response,231,242615,0.0-1.0-15.0-0.0-0.0,0,0,96878,,103.0,,,75.0,13.0,313.0,1000.0,1000.0,0.0,6.0,0.0,20-80,,1.0,makeup compact,sofa,80.0,20.0,makeup compact8,sofa14,60.0,0.0,P189207_hero.jpg,HENRY-Sofa-falg8068-05-72X34X34.jpg,/static/Category_learning/Stimuli/Experimental_stims/makeup compact/P189207_hero.jpg,/static/Category_learning/Stimuli/Experimental_stims/sofa/HENRY-Sofa-falg8068-05-72X34X34.jpg,0.0,sofa,makeup compact,20.0,80.0,sofa14,makeup compact8,0.0,60.0,0.0,217.603,0.103,,,,,
232,,confirmation,,html-keyboard-response,232,244018,0.0-1.0-15.0-0.0-1.0-0.0,0,0,96878,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,1.397,,,,,
233,,isi,,html-keyboard-response,233,244123,0.0-1.0-15.0-0.0-2.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,1.0,,,,,
234,,feedback,,html-keyboard-response,234,245129,0.0-1.0-15.0-0.0-3.0-0.0,0,0,96878,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.0,1.0,,,,,
235,,iti,,html-keyboard-response,235,245233,0.0-1.0-15.0-0.0-5.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.0,1.0,,,,,
236,,choice,,html-keyboard-response,236,245534,0.0-1.0-16.0-0.0-0.0,0,0,96878,,297.0,,,75.0,14.0,314.0,2000.0,2000.0,0.0,6.0,0.0,20-40,,1.0,telescope,poker card,40.0,20.0,telescope4,poker card10,60.0,40.0,TELESCOPE_BLACK_GOOD_SMALL.jpg,22864488.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/telescope/TELESCOPE_BLACK_GOOD_SMALL.jpg,/static/Category_learning/Stimuli/Experimental_stims/poker card/22864488.thl.jpg,0.0,poker card,telescope,20.0,40.0,poker card10,telescope4,40.0,60.0,0.0,222.297,0.297,,,,,
237,,confirmation,,html-keyboard-response,237,246743,0.0-1.0-16.0-0.0-1.0-0.0,0,0,96878,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.5,1.203,,,,,
238,,isi,,html-keyboard-response,238,246850,0.0-1.0-16.0-0.0-2.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.5,2.0,,,,,
239,,feedback,,html-keyboard-response,239,247853,0.0-1.0-16.0-0.0-3.0-0.0,0,0,96878,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.5,1.0,,,,,
240,,iti,,html-keyboard-response,240,247959,0.0-1.0-16.0-0.0-5.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.5,2.0,,,,,
241,,choice,,html-keyboard-response,241,247972,0.0-1.0-17.0-0.0-0.0,0,0,96878,,9.0,,,68.0,15.0,315.0,1500.0,1000.0,0.0,6.0,1.0,60-60,1.0,,bongo,bongo,60.0,60.0,bongo13,bongo1,40.0,60.0,26388718.thl.jpg,ABONGO22.jpg,/static/Category_learning/Stimuli/Experimental_stims/bongo/26388718.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/bongo/ABONGO22.jpg,1.0,bongo,bongo,60.0,60.0,bongo13,bongo1,40.0,60.0,0.0,228.509,0.009,,,,,
242,,confirmation,,html-keyboard-response,242,249469,0.0-1.0-17.0-0.0-1.0-0.0,0,0,96878,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,1.491,,,,,
