,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,no_response,onset,duration,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
66,,confirmation,,html-keyboard-response,66,2266944,0.0-1.0-13.0-0.0-1.0-0.0,0,0,98,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,36.615,0.385,,,,,,,,,,,,,,,
67,,isi,,html-keyboard-response,67,2268449,0.0-1.0-13.0-0.0-2.0,0,0,98,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,37.0,1.5,,,,,,,,,,,,,,,
68,,feedback,,html-keyboard-response,68,2269456,0.0-1.0-13.0-0.0-3.0-0.0,0,0,98,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,38.5,1.0,,,,,,,,,,,,,,,
69,,iti,,html-keyboard-response,69,2272464,0.0-1.0-13.0-0.0-5.0,0,0,98,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,39.5,3.0,,,,,,,,,,,,,,,
70,,choice,,html-keyboard-response,70,2273427,0.0-1.0-14.0-0.0-0.0,0,0,98,,959.0,,,50.0,12.0,12.0,1500.0,2000.0,0.0,1.0,0.0,20-60,,0.0,necklace,bowl,20.0,60.0,necklace1,bowl14,0.0,60.0,26443173.thl.jpg,Aredglassbowl.jpg,/static/Category_learning/Stimuli/Experimental_stims/necklace/26443173.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/bowl/Aredglassbowl.jpg,0.0,42.5,0.959,1.0,necklace,bowl,20.0,60.0,necklace1,bowl14,0.0,60.0,,,,,,
71,,confirmation,,html-keyboard-response,71,2273974,0.0-1.0-14.0-0.0-1.0-0.0,0,0,98,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,43.459,0.541,,,,,,,,,,,,,,,
72,,isi,,html-keyboard-response,72,2275478,0.0-1.0-14.0-0.0-2.0,0,0,98,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,44.0,1.5,,,,,,,,,,,,,,,
73,,feedback,,html-keyboard-response,73,2276486,0.0-1.0-14.0-0.0-3.0-0.0,0,0,98,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,45.5,1.0,,,,,,,,,,,,,,,
74,,iti,,html-keyboard-response,74,2278491,0.0-1.0-14.0-0.0-5.0,0,0,98,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,46.5,2.0,,,,,,,,,,,,,,,
75,,choice,,html-keyboard-response,75,2280000,0.0-1.0-15.0-0.0-0.0,0,0,98,,,,,,13.0,13.0,3500.0,3500.0,0.0,1.0,1.0,60-60,1.0,,bench,bench,60.0,60.0,bench3,bench8,40.0,80.0,26419540.thl.jpg,APARKBE14.jpg,/static/Category_learning/Stimuli/Experimental_stims/bench/26419540.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/bench/APARKBE14.jpg,1.0,48.5,1.5,,,,,,,,,,,,,,,
76,,isi,,html-keyboard-response,76,2283508,0.0-1.0-15.0-0.0-2.0,0,0,98,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,50.0,3.5,,,,,,,,,,,,,,,
77,,no_response,,html-keyboard-response,77,2284512,0.0-1.0-15.0-0.0-4.0-0.0,0,0,98,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,53.5,1.0,,,,,,,,,,,,,,,
78,,iti,,html-keyboard-response,78,2288037,0.0-1.0-15.0-0.0-5.0,0,0,98,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,54.5,3.5,,,,,,,,,,,,,,,
79,,choice,,html-keyboard-response,79,2288635,0.0-1.0-15.0-0.1-0.1,0,0,98,,594.0,,,51.0,13.0,13.0,3500.0,3500.0,0.0,1.0,1.0,60-60,1.0,,bench,bench,60.0,60.0,bench3,bench8,40.0,80.0,26419540.thl.jpg,APARKBE14.jpg,/static/Category_learning/Stimuli/Experimental_stims/bench/26419540.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/bench/APARKBE14.jpg,0.0,58.0,0.594,0.0,bench,bench,60.0,60.0,bench8,bench3,80.0,40.0,,,,,,
80,,confirmation,,html-keyboard-response,80,2289547,0.0-1.0-15.0-0.1-1.1-0.1,0,0,98,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,58.594,0.906,,,,,,,,,,,,,,,
81,,isi,,html-keyboard-response,81,2291552,0.0-1.0-15.0-0.1-2.1,0,0,98,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,59.5,2.0,,,,,,,,,,,,,,,
82,,feedback,,html-keyboard-response,82,2292560,0.0-1.0-15.0-0.1-3.1-0.1,0,0,98,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,61.5,1.0,,,,,,,,,,,,,,,
83,,iti,,html-keyboard-response,83,2294064,0.0-1.0-15.0-0.1-5.1,0,0,98,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,62.5,1.5,,,,,,,,,,,,,,,
84,,choice,,html-keyboard-response,84,2295245,0.0-1.0-16.0-0.0-0.0,0,0,98,,1177.0,,,50.0,14.0,14.0,1000.0,1000.0,0.0,1.0,0.0,60-80,,1.0,microscope,bench,80.0,60.0,microscope12,bench12,60.0,80.0,usbdigitalmicroscope1_small1.jpg,22927976.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/microscope/usbdigitalmicroscope1_small1.jpg,/static/Category_learning/Stimuli/Experimental_stims/bench/22927976.thl.jpg,0.0,64.0,1.177,1.0,microscope,bench,80.0,60.0,microscope12,bench12,60.0,80.0,,,,,,
85,,confirmation,,html-keyboard-response,85,2295573,0.0-1.0-16.0-0.0-1.0-0.0,0,0,98,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,65.177,0.323,,,,,,,,,,,,,,,
86,,isi,,html-keyboard-response,86,2296581,0.0-1.0-16.0-0.0-2.0,0,0,98,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,65.5,1.0,,,,,,,,,,,,,,,
87,,feedback,,html-keyboard-response,87,2297589,0.0-1.0-16.0-0.0-3.0-0.0,0,0,98,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,66.5,1.0,,,,,,,,,,,,,,,
