,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice
54,,choice,,html-keyboard-response,54,58840,0.0-1.0-10.0-0.0-0.0,0,0,3,,176.0,,,50.0,8.0,8.0,1000.0,1000.0,0.0,1.0,0.0,20-60,,1.0,tent,lipstick,60.0,20.0,tent14,lipstick5,60.0,0.0,inflatable-tent.jpg,P35719_hero.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/inflatable-tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/lipstick/P35719_hero.jpg,1.0,tent,lipstick,60.0,20.0,tent14,lipstick5,60.0,0.0,0.0,34.176,0.176,
55,,confirmation,,html-keyboard-response,55,60173,0.0-1.0-10.0-0.0-1.0-0.0,0,0,3,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,1.324,
56,,isi,,html-keyboard-response,56,60277,0.0-1.0-10.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,1.0,
57,,feedback,,html-keyboard-response,57,61287,0.0-1.0-10.0-0.0-3.0-0.0,0,0,3,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,1.0,
58,,iti,,html-keyboard-response,58,61393,0.0-1.0-10.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,1.0,
59,,choice,,html-keyboard-response,59,61532,0.0-1.0-11.0-0.0-0.0,0,0,3,,134.0,,,50.0,9.0,9.0,1000.0,1000.0,0.0,1.0,0.0,20-60,,1.0,watch,frame,60.0,20.0,watch8,frame6,60.0,40.0,2239.jpg,AFRAME123.jpg,/static/Category_learning/Stimuli/Experimental_stims/watch/2239.jpg,/static/Category_learning/Stimuli/Experimental_stims/frame/AFRAME123.jpg,1.0,watch,frame,60.0,20.0,watch8,frame6,60.0,40.0,0.0,38.634,0.134,
60,,confirmation,,html-keyboard-response,60,62905,0.0-1.0-11.0-0.0-1.0-0.0,0,0,3,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1.366,
61,,isi,,html-keyboard-response,61,63010,0.0-1.0-11.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,1.0,
62,,feedback,,html-keyboard-response,62,64013,0.0-1.0-11.0-0.0-3.0-0.0,0,0,3,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,1.0,
63,,iti,,html-keyboard-response,63,64117,0.0-1.0-11.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,1.0,
64,,choice,,html-keyboard-response,64,64196,0.0-1.0-12.0-0.0-0.0,0,0,3,,74.0,,,50.0,10.0,10.0,3000.0,2000.0,0.0,1.0,1.0,60-60,0.0,,watch,tent,60.0,60.0,watch8,tent14,60.0,60.0,2239.jpg,inflatable-tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/watch/2239.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/inflatable-tent.jpg,1.0,watch,tent,60.0,60.0,watch8,tent14,60.0,60.0,0.0,43.074,0.074,
65,,confirmation,,html-keyboard-response,65,65628,0.0-1.0-12.0-0.0-1.0-0.0,0,0,3,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,1.426,
66,,isi,,html-keyboard-response,66,65731,0.0-1.0-12.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,3.0,
67,,feedback,,html-keyboard-response,67,66738,0.0-1.0-12.0-0.0-3.0-0.0,0,0,3,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,1.0,
68,,iti,,html-keyboard-response,68,66842,0.0-1.0-12.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,2.0,
69,,choice,,html-keyboard-response,69,66860,0.0-1.0-13.0-0.0-0.0,0,0,3,,15.0,,,50.0,11.0,11.0,1000.0,2000.0,0.0,1.0,0.0,40-60,,1.0,tape,nail polish,60.0,40.0,tape12,nail polish5,60.0,40.0,Frog-Tape-Dispenser_F02218A2.jpg,182_t.jpg,/static/Category_learning/Stimuli/Experimental_stims/tape/Frog-Tape-Dispenser_F02218A2.jpg,/static/Category_learning/Stimuli/Experimental_stims/nail polish/182_t.jpg,1.0,tape,nail polish,60.0,40.0,tape12,nail polish5,60.0,40.0,0.0,50.515,0.015,
70,,confirmation,,html-keyboard-response,70,68348,0.0-1.0-13.0-0.0-1.0-0.0,0,0,3,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,1.485,
71,,isi,,html-keyboard-response,71,68453,0.0-1.0-13.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,1.0,
72,,feedback,,html-keyboard-response,72,69459,0.0-1.0-13.0-0.0-3.0-0.0,0,0,3,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,1.0,
73,,iti,,html-keyboard-response,73,69567,0.0-1.0-13.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,2.0,
74,,choice,,html-keyboard-response,74,69665,0.0-1.0-14.0-0.0-0.0,0,0,3,,95.0,,,50.0,12.0,12.0,3500.0,1500.0,0.0,1.0,0.0,20-60,,1.0,tape,makeup compact,60.0,20.0,tape7,makeup compact6,60.0,40.0,tape dispenser.jpg,P0754_hero.jpg,/static/Category_learning/Stimuli/Experimental_stims/tape/tape dispenser.jpg,/static/Category_learning/Stimuli/Experimental_stims/makeup compact/P0754_hero.jpg,1.0,tape,makeup compact,60.0,20.0,tape7,makeup compact6,60.0,40.0,0.0,56.095,0.095,
75,,confirmation,,html-keyboard-response,75,71074,0.0-1.0-14.0-0.0-1.0-0.0,0,0,3,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,1.405,
76,,isi,,html-keyboard-response,76,71179,0.0-1.0-14.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,3.5,
77,,feedback,,html-keyboard-response,77,72186,0.0-1.0-14.0-0.0-3.0-0.0,0,0,3,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,1.0,
78,,iti,,html-keyboard-response,78,72293,0.0-1.0-14.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,1.5,
79,,choice,,html-keyboard-response,79,72609,0.0-1.0-15.0-0.0-0.0,0,0,3,,312.0,,,50.0,13.0,13.0,2000.0,1500.0,0.0,1.0,0.0,20-80,,1.0,bowl,microscope,80.0,20.0,bowl3,microscope15,60.0,40.0,ABOWL8.jpg,Amicroscope23.jpg,/static/Category_learning/Stimuli/Experimental_stims/bowl/ABOWL8.jpg,/static/Category_learning/Stimuli/Experimental_stims/microscope/Amicroscope23.jpg,1.0,bowl,microscope,80.0,20.0,bowl3,microscope15,60.0,40.0,0.0,63.812,0.312,
80,,confirmation,,html-keyboard-response,80,73805,0.0-1.0-15.0-0.0-1.0-0.0,0,0,3,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,1.188,
81,,isi,,html-keyboard-response,81,73909,0.0-1.0-15.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,2.0,
82,,feedback,,html-keyboard-response,82,74914,0.0-1.0-15.0-0.0-3.0-0.0,0,0,3,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,1.0,
83,,iti,,html-keyboard-response,83,75019,0.0-1.0-15.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,1.5,
84,,choice,,html-keyboard-response,84,75323,0.0-1.0-16.0-0.0-0.0,0,0,3,,299.0,,,50.0,14.0,14.0,1000.0,2000.0,0.0,1.0,0.0,40-80,,1.0,door knob,necklace,80.0,40.0,door knob10,necklace14,80.0,20.0,c02a578d-c6cc-44ca-8dd2-de8901e30bd7_4.jpg,necklascenew05.jpg,/static/Category_learning/Stimuli/Experimental_stims/door knob/c02a578d-c6cc-44ca-8dd2-de8901e30bd7_4.jpg,/static/Category_learning/Stimuli/Experimental_stims/necklace/necklascenew05.jpg,1.0,door knob,necklace,80.0,40.0,door knob10,necklace14,80.0,20.0,0.0,69.799,0.299,
85,,confirmation,,html-keyboard-response,85,76528,0.0-1.0-16.0-0.0-1.0-0.0,0,0,3,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,1.201,
86,,isi,,html-keyboard-response,86,76634,0.0-1.0-16.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,1.0,
87,,feedback,,html-keyboard-response,87,77639,0.0-1.0-16.0-0.0-3.0-0.0,0,0,3,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,1.0,
88,,iti,,html-keyboard-response,88,77742,0.0-1.0-16.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,2.0,
89,,choice,,html-keyboard-response,89,77928,0.0-1.0-17.0-0.0-0.0,0,0,3,,181.0,,,50.0,15.0,15.0,1000.0,1500.0,0.0,1.0,0.0,20-40,,0.0,motorcycle,sofa,20.0,40.0,motorcycle10,sofa5,20.0,60.0,motorcycle17.jpg,ALOVSEA14.jpg,/static/Category_learning/Stimuli/Experimental_stims/motorcycle/motorcycle17.jpg,/static/Category_learning/Stimuli/Experimental_stims/sofa/ALOVSEA14.jpg,1.0,motorcycle,sofa,20.0,40.0,motorcycle10,sofa5,20.0,60.0,0.0,75.181,0.181,
90,,confirmation,,html-keyboard-response,90,79255,0.0-1.0-17.0-0.0-1.0-0.0,0,0,3,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5,1.319,
91,,isi,,html-keyboard-response,91,79359,0.0-1.0-17.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5,1.0,
92,,feedback,,html-keyboard-response,92,80364,0.0-1.0-17.0-0.0-3.0-0.0,0,0,3,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5,1.0,
93,,iti,,html-keyboard-response,93,80470,0.0-1.0-17.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,1.5,
