,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally
1512,,choice,,html-keyboard-response,1512,2238666,0.0-1.0-288.0-0.0-0.0,0,0,95248,,1012.0,,,75.0,286.0,300.0,2000.0,1500.0,0.0,5.0,1.0,60-60,1.0,,power strip,power strip,60.0,60.0,power strip3,power strip8,80.0,80.0,67a59858-df1d-43a9-a833-cfeaca77ade9_400.jpg,3118YGHQWXL._AA262_.jpg,/static/Category_learning/Stimuli/Experimental_stims/power strip/67a59858-df1d-43a9-a833-cfeaca77ade9_400.jpg,/static/Category_learning/Stimuli/Experimental_stims/power strip/3118YGHQWXL._AA262_.jpg,0.0,power strip,power strip,60.0,60.0,power strip8,power strip3,80.0,80.0,0.0,342.012,1.012,,
1513,,confirmation,,html-keyboard-response,1513,2239161,0.0-1.0-288.0-0.0-1.0-0.0,0,0,95248,,,,,,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.5,0.488,,
1514,,isi,,html-keyboard-response,1514,2241167,0.0-1.0-288.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.5,2.0,,
1515,,feedback,,html-keyboard-response,1515,2242174,0.0-1.0-288.0-0.0-3.0-0.0,0,0,95248,,,,,,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.5,1.0,,
1516,,iti,,html-keyboard-response,1516,2243682,0.0-1.0-288.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0,1.5,,
1517,,choice,,html-keyboard-response,1517,2244578,0.0-1.0-289.0-0.0-0.0,0,0,95248,,892.0,,,68.0,287.0,301.0,1000.0,3000.0,0.0,5.0,0.0,20-80,,1.0,yarn,desk,80.0,20.0,yarn8,desk5,60.0,20.0,smonlineyarn-285x250.jpg,ADESK6.jpg,/static/Category_learning/Stimuli/Experimental_stims/yarn/smonlineyarn-285x250.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/ADESK6.jpg,1.0,yarn,desk,80.0,20.0,yarn8,desk5,60.0,20.0,0.0,347.892,0.892,,
1518,,confirmation,,html-keyboard-response,1518,2245192,0.0-1.0-289.0-0.0-1.0-0.0,0,0,95248,,,,,,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.5,0.608,,
1519,,isi,,html-keyboard-response,1519,2246196,0.0-1.0-289.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.5,1.0,,
1520,,feedback,,html-keyboard-response,1520,2247199,0.0-1.0-289.0-0.0-3.0-0.0,0,0,95248,,,,,,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.5,1.0,,
1521,,iti,,html-keyboard-response,1521,2250208,0.0-1.0-289.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.5,3.0,,
1522,,block_over,,html-keyboard-response,1522,2253348,0.0-1.0-289.0-0.0-7.0-0.0,0,0,95248,,3103.0,,,68.0,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,,start_run,,html-keyboard-response,1523,2254260,0.0-1.0-289.0-0.0-7.0-1.0,0,0,95248,,909.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,,choice,,html-keyboard-response,1524,2254988,0.0-1.0-290.0-0.0-0.0,0,0,95248,,723.0,,,68.0,288.0,305.0,1500.0,3000.0,0.0,6.0,0.0,20-20,,,flashlight,dresser,20.0,20.0,flashlight11,dresser15,40.0,20.0,new04.jpg,ADRESSE77.jpg,/static/Category_learning/Stimuli/Experimental_stims/flashlight/new04.jpg,/static/Category_learning/Stimuli/Experimental_stims/dresser/ADRESSE77.jpg,1.0,flashlight,dresser,20.0,20.0,flashlight11,dresser15,40.0,20.0,0.0,0.723,0.723,,
