trial_num,block,is_practice,old_trial,pair_type,left_category_value,right_category_value,delta_category_value,high_cat_on_left,iti,isi,left_category,right_category,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_stim_index,right_stim_index,left_img,right_img,left_img_path,right_img_path
67,2,0,0,20-80,20,80,-60,0,1000,1000,fan,trumpet,fan2,trumpet12,40,80,120,555,507349_sk_lg.jpg,hornabariton.jpg,Stimuli/Experimental_stims/fan/507349_sk_lg.jpg,Stimuli/Experimental_stims/trumpet/hornabariton.jpg
68,2,0,0,60-60,60,60,0,NA,1000,2000,pen,poker card,pen4,poker card9,80,80,360,382,Montblanc_Greta_Garbo_BP copy.jpg,9817230.thl.jpg,Stimuli/Experimental_stims/pen/Montblanc_Greta_Garbo_BP copy.jpg,Stimuli/Experimental_stims/poker card/9817230.thl.jpg
69,2,0,0,20-20,20,20,0,NA,1000,1000,baby carriage,fan,baby carriage9,fan11,0,0,8,129,Antique baby Carriage 7.jpg,n_sf.jpg,Stimuli/Experimental_stims/baby carriage/Antique baby Carriage 7.jpg,Stimuli/Experimental_stims/fan/n_sf.jpg
70,2,0,0,20-80,80,20,60,1,1000,1500,stool,dresser,stool2,dresser1,60,0,460,102,ASTOOL46.jpg,ADRESSE52.jpg,Stimuli/Experimental_stims/stool/ASTOOL46.jpg,Stimuli/Experimental_stims/dresser/ADRESSE52.jpg
71,2,0,0,20-80,20,80,-60,0,2000,3500,desk,stool,desk4,stool11,40,60,71,469,AbbeyMiniRadialBIG(1).jpg,ASTOOL28.jpg,Stimuli/Experimental_stims/desk/AbbeyMiniRadialBIG(1).jpg,Stimuli/Experimental_stims/stool/ASTOOL28.jpg
72,2,0,0,40-60,40,60,-20,0,1500,2000,license plate,poker card,license plate1,poker card2,40,60,221,375,il-423-3784.jpg,22864716.thl.jpg,Stimuli/Experimental_stims/license plate/il-423-3784.jpg,Stimuli/Experimental_stims/poker card/22864716.thl.jpg
73,2,0,1,NaN,NA,NA,NA,NA,1500,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
74,2,0,0,20-60,20,60,-40,0,2000,1000,flashlight,poker card,flashlight8,poker card12,40,80,143,385,Streamlight-Stinger-Rechargeable-Flashlight-with-Charger-Black-75014-B00008BFSI-L.jpg,22865676.thl.jpg,Stimuli/Experimental_stims/flashlight/Streamlight-Stinger-Rechargeable-Flashlight-with-Charger-Black-75014-B00008BFSI-L.jpg,Stimuli/Experimental_stims/poker card/22865676.thl.jpg
75,2,0,0,20-80,20,80,-60,0,1000,1500,bongo,stool,bongo3,stool4,20,60,36,462,26390697.thl.jpg,ASTOOL22.jpg,Stimuli/Experimental_stims/bongo/26390697.thl.jpg,Stimuli/Experimental_stims/stool/ASTOOL22.jpg
76,2,0,0,40-40,40,40,0,NA,2000,3000,makeup compact,motorcycle,makeup compact6,motorcycle8,20,20,260,296,P0754_hero.jpg,Motorcycle903425j2.jpg,Stimuli/Experimental_stims/makeup compact/P0754_hero.jpg,Stimuli/Experimental_stims/motorcycle/Motorcycle903425j2.jpg
